the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.88576099999995 35.062422000000026),1760,1858,MENKNINF,MENDENHALL@KNIGHT ARNOLD,-89.885761,35.062422,14,,11,3
POINT (-89.92025499999994 35.205066000000045),2803,1000,STAEASEN,STAGE@EAST,-89.920255,35.205066,24,,2,1
POINT (-89.96767199999994 35.17429600000003),380,4579,CHECAREM,CHELSEA AVE@CARPENTER,-89.967672,35.174296,8,,7,7
POINT (-89.97352799999999 35.15809000000007),1282,3742,JACMERWM,JACKSON AVE@MERTON,-89.973528,35.15809,8,,7,7
POINT (-89.89651399999997 35.18223700000004),571,1080,COVCOVSF,COVINGTON PIKE@COVINGTON WAY,-89.896514,35.182237,24,,2,1
POINT (-89.99106399999994 35.242729000000054),1028,1487,HAWCHAWM,HAWKINS MILLS@CHATTERING LN,-89.991064,35.242729,23,,1,7
POINT (-90.01218699999998 35.15475500000008),3410,3598,WATFAXNN,WATKINS@FAXON,-90.012187,35.154755,4,,8,7
POINT (-89.79972899999996 35.20445900000004),2867,1035,STAWOLEM,STAGE@WOLFCREEK PKWY,-89.799729,35.204459,27,,3,1
POINT (-90.08150999999998 35.04323400000004),845,5919,FORLEVNF,FORD@LEVI,-90.08151,35.043234,9,,13,6
POINT (-89.91364199999998 35.10716600000006),2073,2153,PARMEAWF,PARK@MEANDER DR,-89.913642,35.107166,16,,9,4
POINT (-90.04703799999999 35.10531100000003),3353,5082,WALWELEN,WALDORF@WELLINGTON,-90.047038,35.105311,6,,14,6
POINT (-89.92728599999998 35.05180900000005),3566,1687,WINLAMWF,WINCHESTER@LAMAR,-89.927286,35.051809,17,,11,3
POINT (-89.98498399999994 35.10958100000005),78,3332,AIRSARSN,AIRWAYS BLVD@SARATOGA,-89.984984,35.109581,13,,5,5
POINT (-89.98473299999995 35.12601600000005),313,3526,CENEPAWF,CENTRAL AVE@PARKWAY,-89.984733,35.126016,4,,8,4
POINT (-90.02286699999996 35.15901400000007),218,3784,BRECOWNN,BREEDLOVE@COWETA,-90.022867,35.159014,7,,7,7
POINT (-89.90372999999994 35.06932000000006),551,1866,COTBRAWM,COTTONWOOD@BRANDALE,-89.90373,35.06932,17,,11,5
POINT (-89.98788099999996 35.15180000000004),1962,3539,NPAUNIWM,N PARKWAY@UNIVERSITY,-89.987881,35.1518,11,,8,4
POINT (-89.89860399999998 35.148630000000026),2927,4054,SUMMENWF,SUMMER AVE@MENDENHALL RD,-89.898604,35.14863,20,,6,4
POINT (-89.84814699999998 35.02035100000006),2592,477,SHECRUEF,SHELBY DR @ KIRBY PKWY,-89.848147,35.020351,31,,10,3
POINT (-90.05658799999998 35.08900200000005),3031,4998,THIDEVSN,THIRD@DEVANT,-90.056588,35.089002,9,,14,6
POINT (-89.98271099999994 35.10353800000007),1504,5691,LAMLAMWN,LAMAR AVE@LAMAR CIR,-89.982711,35.103538,13,,5,5
